X ,  Y  
 -0.00 , -0.00
-0.19 , 0.25
-0.01 , 0.08
0.00 , 0.04
0.00 , 0.02
0.00 , 0.01
0.00 , 0.00
0.00 , 0.00
0.00 , 0.01
0.00 , 0.00
0.00 , 0.00
0.00 , 0.00
0.00 , 0.00
0.00 , 0.00
0.00 , 0.00
0.00 , 0.00
0.00 , 0.00
0.00 , 0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
0.00 , -0.00
